care_profile_id,name,light_category,water_category,humidity_category,soil_category,light,water,humidity,soil,airflow,difficulty
AROIDS_CHUNKY,Tropical aroid / chunky mix,bright_indirect_to_medium,moderate_drydown,average_to_high,chunky_aroid_mix,Bright indirect to medium indirect light; protect from harsh midday sun indoors.,Water when the top 30-50% of mix dries; do not leave standing in water.,Average indoor humidity is usually workable; 50-70% helps larger leaves and velvety species.,"Chunky, airy aroid mix with potting soil/coco plus orchid bark, perlite, or pumice.",Gentle airflow helps reduce fungal issues; avoid cold drafts and heater vents.,easy_to_intermediate
RARE_AROIDS_HIGH_HUMIDITY,Rare/velvety aroid,bright_indirect,even_moist,high,chunky_aroid_moist,Bright filtered light; avoid direct sun on thin or velvety leaves.,Keep evenly moist but never soggy; allow the upper mix to begin drying between waterings.,"High humidity preferred, often 60-80%, with steady warmth.","Very airy aroid mix with bark, perlite/pumice, coco chips, and a moisture-retentive component.",High humidity should be paired with airflow to prevent leaf spotting and rot.,intermediate_to_advanced
LOW_LIGHT_RESILIENT,Low-light resilient foliage,low_to_bright_indirect,low_water,average,standard_well_draining,Low to bright indirect light; growth is faster with brighter indirect light.,Let soil dry well between waterings; overwatering is the main risk.,Normal household humidity is fine.,Well-draining indoor potting mix with perlite or pumice.,Tolerates normal indoor air; avoid cold drafts.,easy
FICUS_BRIGHT,Bright-light ficus/tree-form houseplant,bright_indirect_to_gentle_sun,moderate_consistent,average,standard_well_draining,Bright indirect light with some gentle direct sun if acclimated.,Water when the top 25-40% of soil dries; keep routine consistent.,"Average humidity works, but avoid very dry air.","Rich, well-draining potting mix; avoid compacted wet soil.",Avoid cold drafts and sudden moves; many ficus drop leaves after abrupt changes.,intermediate
CALATHEA_PRAYER,Prayer plant / calathea humidity-sensitive foliage,medium_to_bright_indirect,even_moist,high,moist_well_draining,Medium to bright indirect light; avoid direct sun that fades or scorches leaves.,Keep lightly and evenly moist; avoid fully drying out or staying soggy.,"Prefers higher humidity, often 50-70%; sensitive to dry air.",Moisture-retentive but draining mix with coco/peat and perlite.,"Avoid cold drafts, hot vents, and stagnant wet foliage.",intermediate
ALOCASIA,Alocasia / elephant-ear tropical,bright_indirect,even_moist_seasonal,high,chunky_aroid_moist,Bright indirect light; some morning sun can work after acclimation.,"Keep evenly moist during growth, letting the top layer dry; reduce watering in dormancy.","Moderate to high humidity, ideally 50-70%.",Chunky but moisture-retentive mix; avoid dense wet soil around corms.,Good airflow helps prevent pests and fungal spots in humid setups.,intermediate
PALM_TROPICAL,Indoor palm / tropical floor plant,medium_to_bright_indirect,moderate_consistent,average_to_high,standard_well_draining,Bright indirect to medium light depending on species.,Keep slightly moist but not waterlogged; many palms dislike drying completely.,Average to higher humidity; brown tips often worsen in dry air.,Well-draining palm or indoor potting mix.,Avoid cold drafts and hot dry vents.,easy_to_intermediate
BEGONIA_FLOWERING,Begonia / flowering foliage tropical,bright_indirect,moderate_drydown,average_to_high,standard_well_draining,Bright indirect light; some morning sun can help flowering.,"Let the top layer dry, then water thoroughly; avoid wet leaves and soggy roots.",Average to moderate humidity; airflow matters more than misting.,"Light, well-draining potting mix.",Good airflow prevents powdery mildew and leaf spotting.,easy_to_intermediate
FLOWERING_POT,Flowering potted plant,bright_indirect_to_part_sun,even_moist_seasonal,average,standard_well_draining,Bright indirect light; some gentle sun supports blooms.,"Keep evenly moist while blooming, then adjust for dormancy or rest period.",Average indoor humidity works for most.,Quality potting mix with drainage.,Avoid hot vents; remove spent blooms and yellow leaves.,easy_to_intermediate
SUCCULENT,Succulent / dryland plant,bright_to_direct,dry_cycle,low_to_average,cactus_succulent_gritty,Very bright light; many need several hours of direct sun or strong grow light.,"Soak thoroughly, then let mix dry completely before watering again.",Low to average humidity is fine.,"Fast-draining cactus/succulent mix with pumice, perlite, or grit.",Good airflow and dry leaves/crowns help prevent rot.,easy_to_intermediate
CACTUS,Cactus / arid desert plant,direct_sun,very_low_water,low,cactus_mineral_gritty,High light with direct sun after acclimation.,"Water deeply but infrequently; keep mostly dry, especially in cool months.",Low humidity preferred.,Mineral-heavy cactus mix with excellent drainage.,Strong airflow and fast drying reduce rot risk.,easy_to_intermediate
EPIPHYTE_HOYA,Hoya / epiphytic succulent vine,bright_indirect_to_gentle_sun,moderate_to_dry,average_to_high,epiphyte_chunky,Bright indirect light; some gentle direct sun supports flowering.,Let mix dry partly to mostly between waterings; avoid heavy wet soil.,Average humidity works; higher humidity helps growth.,"Airy epiphyte mix with orchid bark, perlite/pumice, and light organic matter.",Good airflow supports healthy vines and reduces fungal issues.,easy_to_intermediate
