id,common_name,scientific_name,aliases,retail_group,care_profile_id,description,care_summary,light_category,water_category,humidity_category,soil_category,airflow_notes,difficulty,pet_safety,data_quality,listing_keywords
golden-pothos,Golden Pothos,Epipremnum aureum,Devil's ivy,houseplant_aroid,AROIDS_CHUNKY,"Golden Pothos is a popular tropical foliage plant sold for decorative leaves, climbing/trailing habit, and easy propagation. Listings should emphasize leaf shape, variegation, pot size, and rooted cutting status.","Bright indirect to medium indirect light; protect from harsh midday sun indoors. Water when the top 30-50% of mix dries; do not leave standing in water. Average indoor humidity is usually workable; 50-70% helps larger leaves and velvety species. Soil: Chunky, airy aroid mix with potting soil/coco plus orchid bark, perlite, or pumice.",bright_indirect_to_medium,moderate_drydown,average_to_high,chunky_aroid_mix,Gentle airflow helps reduce fungal issues; avoid cold drafts and heater vents.,easy_to_intermediate,likely_toxic,mvp_seed_needs_taxonomy_and_toxicity_review,"Golden Pothos, houseplant aroid, Tropical aroid / chunky mix, plant care, rooted plant, local pickup"
marble-queen-pothos,Marble Queen Pothos,Epipremnum aureum 'Marble Queen',Marble Queen,houseplant_aroid,AROIDS_CHUNKY,"Marble Queen Pothos is a popular tropical foliage plant sold for decorative leaves, climbing/trailing habit, and easy propagation. Listings should emphasize leaf shape, variegation, pot size, and rooted cutting status.","Bright indirect to medium indirect light; protect from harsh midday sun indoors. Water when the top 30-50% of mix dries; do not leave standing in water. Average indoor humidity is usually workable; 50-70% helps larger leaves and velvety species. Soil: Chunky, airy aroid mix with potting soil/coco plus orchid bark, perlite, or pumice.",bright_indirect_to_medium,moderate_drydown,average_to_high,chunky_aroid_mix,Gentle airflow helps reduce fungal issues; avoid cold drafts and heater vents.,easy_to_intermediate,likely_toxic,mvp_seed_needs_taxonomy_and_toxicity_review,"Marble Queen Pothos, houseplant aroid, Tropical aroid / chunky mix, plant care, rooted plant, local pickup"
neon-pothos,Neon Pothos,Epipremnum aureum 'Neon',,houseplant_aroid,AROIDS_CHUNKY,"Neon Pothos is a popular tropical foliage plant sold for decorative leaves, climbing/trailing habit, and easy propagation. Listings should emphasize leaf shape, variegation, pot size, and rooted cutting status.","Bright indirect to medium indirect light; protect from harsh midday sun indoors. Water when the top 30-50% of mix dries; do not leave standing in water. Average indoor humidity is usually workable; 50-70% helps larger leaves and velvety species. Soil: Chunky, airy aroid mix with potting soil/coco plus orchid bark, perlite, or pumice.",bright_indirect_to_medium,moderate_drydown,average_to_high,chunky_aroid_mix,Gentle airflow helps reduce fungal issues; avoid cold drafts and heater vents.,easy_to_intermediate,likely_toxic,mvp_seed_needs_taxonomy_and_toxicity_review,"Neon Pothos, houseplant aroid, Tropical aroid / chunky mix, plant care, rooted plant, local pickup"
pearls-and-jade-pothos,Pearls and Jade Pothos,Epipremnum aureum 'Pearls and Jade',,houseplant_aroid,AROIDS_CHUNKY,"Pearls and Jade Pothos is a popular tropical foliage plant sold for decorative leaves, climbing/trailing habit, and easy propagation. Listings should emphasize leaf shape, variegation, pot size, and rooted cutting status.","Bright indirect to medium indirect light; protect from harsh midday sun indoors. Water when the top 30-50% of mix dries; do not leave standing in water. Average indoor humidity is usually workable; 50-70% helps larger leaves and velvety species. Soil: Chunky, airy aroid mix with potting soil/coco plus orchid bark, perlite, or pumice.",bright_indirect_to_medium,moderate_drydown,average_to_high,chunky_aroid_mix,Gentle airflow helps reduce fungal issues; avoid cold drafts and heater vents.,easy_to_intermediate,likely_toxic,mvp_seed_needs_taxonomy_and_toxicity_review,"Pearls and Jade Pothos, houseplant aroid, Tropical aroid / chunky mix, plant care, rooted plant, local pickup"
n-joy-pothos,N'Joy Pothos,Epipremnum aureum 'N'Joy',Pothos Njoy,houseplant_aroid,AROIDS_CHUNKY,"N'Joy Pothos is a popular tropical foliage plant sold for decorative leaves, climbing/trailing habit, and easy propagation. Listings should emphasize leaf shape, variegation, pot size, and rooted cutting status.","Bright indirect to medium indirect light; protect from harsh midday sun indoors. Water when the top 30-50% of mix dries; do not leave standing in water. Average indoor humidity is usually workable; 50-70% helps larger leaves and velvety species. Soil: Chunky, airy aroid mix with potting soil/coco plus orchid bark, perlite, or pumice.",bright_indirect_to_medium,moderate_drydown,average_to_high,chunky_aroid_mix,Gentle airflow helps reduce fungal issues; avoid cold drafts and heater vents.,easy_to_intermediate,likely_toxic,mvp_seed_needs_taxonomy_and_toxicity_review,"N'Joy Pothos, houseplant aroid, Tropical aroid / chunky mix, plant care, rooted plant, local pickup"
manjula-pothos,Manjula Pothos,Epipremnum aureum 'Manjula',,houseplant_aroid,AROIDS_CHUNKY,"Manjula Pothos is a popular tropical foliage plant sold for decorative leaves, climbing/trailing habit, and easy propagation. Listings should emphasize leaf shape, variegation, pot size, and rooted cutting status.","Bright indirect to medium indirect light; protect from harsh midday sun indoors. Water when the top 30-50% of mix dries; do not leave standing in water. Average indoor humidity is usually workable; 50-70% helps larger leaves and velvety species. Soil: Chunky, airy aroid mix with potting soil/coco plus orchid bark, perlite, or pumice.",bright_indirect_to_medium,moderate_drydown,average_to_high,chunky_aroid_mix,Gentle airflow helps reduce fungal issues; avoid cold drafts and heater vents.,easy_to_intermediate,likely_toxic,mvp_seed_needs_taxonomy_and_toxicity_review,"Manjula Pothos, houseplant aroid, Tropical aroid / chunky mix, plant care, rooted plant, local pickup"
cebu-blue-pothos,Cebu Blue Pothos,Epipremnum pinnatum 'Cebu Blue',,houseplant_aroid,AROIDS_CHUNKY,"Cebu Blue Pothos is a popular tropical foliage plant sold for decorative leaves, climbing/trailing habit, and easy propagation. Listings should emphasize leaf shape, variegation, pot size, and rooted cutting status.","Bright indirect to medium indirect light; protect from harsh midday sun indoors. Water when the top 30-50% of mix dries; do not leave standing in water. Average indoor humidity is usually workable; 50-70% helps larger leaves and velvety species. Soil: Chunky, airy aroid mix with potting soil/coco plus orchid bark, perlite, or pumice.",bright_indirect_to_medium,moderate_drydown,average_to_high,chunky_aroid_mix,Gentle airflow helps reduce fungal issues; avoid cold drafts and heater vents.,easy_to_intermediate,likely_toxic,mvp_seed_needs_taxonomy_and_toxicity_review,"Cebu Blue Pothos, houseplant aroid, Tropical aroid / chunky mix, plant care, rooted plant, local pickup"
baltic-blue-pothos,Baltic Blue Pothos,Epipremnum pinnatum 'Baltic Blue',,houseplant_aroid,AROIDS_CHUNKY,"Baltic Blue Pothos is a popular tropical foliage plant sold for decorative leaves, climbing/trailing habit, and easy propagation. Listings should emphasize leaf shape, variegation, pot size, and rooted cutting status.","Bright indirect to medium indirect light; protect from harsh midday sun indoors. Water when the top 30-50% of mix dries; do not leave standing in water. Average indoor humidity is usually workable; 50-70% helps larger leaves and velvety species. Soil: Chunky, airy aroid mix with potting soil/coco plus orchid bark, perlite, or pumice.",bright_indirect_to_medium,moderate_drydown,average_to_high,chunky_aroid_mix,Gentle airflow helps reduce fungal issues; avoid cold drafts and heater vents.,easy_to_intermediate,likely_toxic,mvp_seed_needs_taxonomy_and_toxicity_review,"Baltic Blue Pothos, houseplant aroid, Tropical aroid / chunky mix, plant care, rooted plant, local pickup"
satin-pothos,Satin Pothos,Scindapsus pictus,Silver pothos,houseplant_aroid,AROIDS_CHUNKY,"Satin Pothos is a popular tropical foliage plant sold for decorative leaves, climbing/trailing habit, and easy propagation. Listings should emphasize leaf shape, variegation, pot size, and rooted cutting status.","Bright indirect to medium indirect light; protect from harsh midday sun indoors. Water when the top 30-50% of mix dries; do not leave standing in water. Average indoor humidity is usually workable; 50-70% helps larger leaves and velvety species. Soil: Chunky, airy aroid mix with potting soil/coco plus orchid bark, perlite, or pumice.",bright_indirect_to_medium,moderate_drydown,average_to_high,chunky_aroid_mix,Gentle airflow helps reduce fungal issues; avoid cold drafts and heater vents.,easy_to_intermediate,likely_toxic,mvp_seed_needs_taxonomy_and_toxicity_review,"Satin Pothos, houseplant aroid, Tropical aroid / chunky mix, plant care, rooted plant, local pickup"
silver-splash-pothos,Silver Splash Pothos,Scindapsus pictus 'Silver Splash',,houseplant_aroid,AROIDS_CHUNKY,"Silver Splash Pothos is a popular tropical foliage plant sold for decorative leaves, climbing/trailing habit, and easy propagation. Listings should emphasize leaf shape, variegation, pot size, and rooted cutting status.","Bright indirect to medium indirect light; protect from harsh midday sun indoors. Water when the top 30-50% of mix dries; do not leave standing in water. Average indoor humidity is usually workable; 50-70% helps larger leaves and velvety species. Soil: Chunky, airy aroid mix with potting soil/coco plus orchid bark, perlite, or pumice.",bright_indirect_to_medium,moderate_drydown,average_to_high,chunky_aroid_mix,Gentle airflow helps reduce fungal issues; avoid cold drafts and heater vents.,easy_to_intermediate,likely_toxic,mvp_seed_needs_taxonomy_and_toxicity_review,"Silver Splash Pothos, houseplant aroid, Tropical aroid / chunky mix, plant care, rooted plant, local pickup"
scindapsus-moonlight,Scindapsus Moonlight,Scindapsus treubii 'Moonlight',Treubii Moonlight,houseplant_aroid,AROIDS_CHUNKY,"Scindapsus Moonlight is a popular tropical foliage plant sold for decorative leaves, climbing/trailing habit, and easy propagation. Listings should emphasize leaf shape, variegation, pot size, and rooted cutting status.","Bright indirect to medium indirect light; protect from harsh midday sun indoors. Water when the top 30-50% of mix dries; do not leave standing in water. Average indoor humidity is usually workable; 50-70% helps larger leaves and velvety species. Soil: Chunky, airy aroid mix with potting soil/coco plus orchid bark, perlite, or pumice.",bright_indirect_to_medium,moderate_drydown,average_to_high,chunky_aroid_mix,Gentle airflow helps reduce fungal issues; avoid cold drafts and heater vents.,easy_to_intermediate,likely_toxic,mvp_seed_needs_taxonomy_and_toxicity_review,"Scindapsus Moonlight, houseplant aroid, Tropical aroid / chunky mix, plant care, rooted plant, local pickup"
